 0.045208532 0.048239436 0.043884706 0.059444662 0.061902367 
half 3.1836994E-4 0.0010563381 0.0010386913 0.0016946943 4.6732332E-4 
hands 3.1836994E-4 7.042253E-4 5.1934563E-4 2.607222E-4 4.6732332E-4 
year 6.367399E-4 0.0021126762 2.5967282E-4 0.001303611 0.0018333453 
allowed 6.367399E-4 3.5211266E-4 5.1934563E-4 3.910833E-4 2.875836E-4 
texas 3.1836994E-4 3.5211266E-4 2.5967282E-4 2.607222E-4 4.6732332E-4 
setting 9.5510983E-4 7.042253E-4 2.5967282E-4 2.607222E-4 3.9542743E-4 
properly 3.1836994E-4 7.042253E-4 0.001298364 3.910833E-4 1.437918E-4 
score 3.1836994E-4 7.042253E-4 7.7901845E-4 5.214444E-4 6.83011E-4 
themes 6.367399E-4 7.042253E-4 2.5967282E-4 3.910833E-4 2.5163562E-4 
music 0.0012734798 0.0014084507 0.002856401 0.0018250555 0.0037385866 
pick 3.1836994E-4 3.5211266E-4 0.0018177096 5.214444E-4 5.0327124E-4 
poor 9.5510983E-4 7.042253E-4 5.1934563E-4 6.518055E-4 1.7973974E-4 
understanding 3.1836994E-4 3.5211266E-4 5.1934563E-4 1.303611E-4 6.470631E-4 
moving 6.367399E-4 7.042253E-4 7.7901845E-4 3.910833E-4 0.0010424905 
sister 6.367399E-4 3.5211266E-4 0.0010386913 9.125277E-4 5.392192E-4 
audience 9.5510983E-4 7.042253E-4 2.5967282E-4 3.910833E-4 4.6732332E-4 
gabriel 3.1836994E-4 7.042253E-4 0.0010386913 6.518055E-4 7.9085486E-4 
excellent 3.1836994E-4 0.0014084507 7.7901845E-4 0.0014339722 0.0021209288 
younger 3.1836994E-4 7.042253E-4 2.5967282E-4 5.214444E-4 3.9542743E-4 
costumes 3.1836994E-4 0.0014084507 5.1934563E-4 0.0010428888 5.0327124E-4 
version 0.0019102197 0.0042253523 0.0031160738 0.003910833 0.0029836795 
size 3.1836994E-4 3.5211266E-4 2.5967282E-4 3.910833E-4 1.437918E-4 
stop 9.5510983E-4 7.042253E-4 2.5967282E-4 3.910833E-4 5.751672E-4 
guess 0.0012734798 0.0014084507 7.7901845E-4 6.518055E-4 2.875836E-4 
left 0.0025469596 0.0031690141 0.0010386913 0.0018250555 0.0015457617 
heartfelt 3.1836994E-4 3.5211266E-4 2.5967282E-4 3.910833E-4 3.2353154E-4 
detail 3.1836994E-4 0.0010563381 2.5967282E-4 6.518055E-4 2.875836E-4 
telling 0.0015918497 3.5211266E-4 2.5967282E-4 6.518055E-4 4.3137537E-4 
C 3.1836994E-4 3.5211266E-4 2.5967282E-4 7.821666E-4 2.5163562E-4 
role 0.0012734798 0.0010563381 0.0010386913 0.0018250555 5.0327124E-4 
weeks 6.367399E-4 3.5211266E-4 2.5967282E-4 5.214444E-4 3.2353154E-4 
D 3.1836994E-4 3.5211266E-4 2.5967282E-4 7.821666E-4 3.9542743E-4 
throat 9.5510983E-4 3.5211266E-4 0.0010386913 5.214444E-4 2.5163562E-4 
alvarado 3.1836994E-4 3.5211266E-4 7.7901845E-4 0.0010428888 4.3137537E-4 
immediately 6.367399E-4 0.0010563381 2.5967282E-4 1.303611E-4 2.5163562E-4 
talking 6.367399E-4 0.0010563381 2.5967282E-4 7.821666E-4 5.751672E-4 
