 0.017964073 0.006369427 0.022099448 0.005988024 0.0076045627 
play 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
gift 0.005988024 0.006369427 0.011049724 0.005988024 0.0038022813 
RRB 0.005988024 0.006369427 0.011049724 0.005988024 0.0038022813 
education 0.005988024 0.006369427 0.011049724 0.005988024 0.0038022813 
dayton 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
software 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
ago 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
program 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
type 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
years 0.005988024 0.006369427 0.005524862 0.005988024 0.0114068445 
trip 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
music 0.005988024 0.006369427 0.011049724 0.005988024 0.0038022813 
humor 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
exercises 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
depending 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
lost 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
games 0.005988024 0.006369427 0.005524862 0.005988024 0.0114068445 
morethe 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
dearly 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
order 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
based 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
solid 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
pass 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
excited 0.011976048 0.006369427 0.005524862 0.005988024 0.0038022813 
players 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
work 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
want 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
cream 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
completed 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
pack 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
n_load 0.011976048 0.006369427 0.005524862 0.005988024 0.0038022813 
distributes 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
shooter 0.005988024 0.006369427 0.005524862 0.005988024 0.0114068445 
thirty 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
love 0.005988024 0.006369427 0.005524862 0.011976048 0.015209125 
access 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
brought 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
racing 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
activity 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
n_gotten 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
enjoy 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
waited 0.011976048 0.006369427 0.005524862 0.005988024 0.0038022813 
lot 0.005988024 0.006369427 0.011049724 0.005988024 0.0076045627 
computer 0.005988024 0.006369427 0.011049724 0.005988024 0.0038022813 
current 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
responsibility 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
vendor 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
installation 0.011976048 0.006369427 0.005524862 0.005988024 0.0038022813 
dark 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
memories 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
kinda 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
decisions 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
takes 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
computers 0.011976048 0.006369427 0.005524862 0.005988024 0.0038022813 
kids 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
surprised 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
receive 0.011976048 0.006369427 0.005524862 0.005988024 0.0038022813 
grait 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
prefers 0.005988024 0.006369427 0.011049724 0.005988024 0.0038022813 
pleasantly 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
business 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
n_work 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
bought 0.005988024 0.006369427 0.005524862 0.005988024 0.0114068445 
loves 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
great 0.005988024 0.006369427 0.005524862 0.011976048 0.0114068445 
nice 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
granddaughter 0.005988024 0.006369427 0.011049724 0.005988024 0.0038022813 
printing 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
todays 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
call 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
powerful 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
u 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
lease 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
LRB 0.005988024 0.006369427 0.011049724 0.005988024 0.0038022813 
fun 0.005988024 0.006369427 0.005524862 0.005988024 0.019011406 
levels 0.005988024 0.006369427 0.005524862 0.005988024 0.0114068445 
story 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
stuff 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
small 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
separate 0.005988024 0.006369427 0.011049724 0.005988024 0.0038022813 
isawesomei 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
buy 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
honor 0.005988024 0.006369427 0.005524862 0.011976048 0.0038022813 
laptopif 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
ice 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
run 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
graphics 0.005988024 0.006369427 0.005524862 0.005988024 0.0114068445 
incorporate 0.005988024 0.006369427 0.005524862 0.011976048 0.0038022813 
ohio 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
good 0.005988024 0.006369427 0.005524862 0.005988024 0.0114068445 
listen 0.005988024 0.006369427 0.011049724 0.005988024 0.0038022813 
wise 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
thisit 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
school 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
continue 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
reviewed 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
military 0.005988024 0.006369427 0.005524862 0.011976048 0.0076045627 
trucks 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
day 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
likes 0.005988024 0.006369427 0.011049724 0.005988024 0.0038022813 
train 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
expecting 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
like 0.005988024 0.006369427 0.005524862 0.005988024 0.0114068445 
level 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
kind 0.011976048 0.006369427 0.005524862 0.005988024 0.0038022813 
restock 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
includes 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
real 0.005988024 0.006369427 0.005524862 0.011976048 0.0038022813 
n_played 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
tool 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
purchased 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
person 0.005988024 0.006369427 0.005524862 0.005988024 0.0114068445 
loose 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
campaign 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
playing 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
amusement 0.005988024 0.006369427 0.011049724 0.005988024 0.0038022813 
expenses 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
allow 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
game 0.005988024 0.006369427 0.011049724 0.011976048 0.03422053 
memory 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
nt 0.011976048 0.006369427 0.005524862 0.005988024 0.0076045627 
line 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
truck 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
certificate 0.005988024 0.006369427 0.005524862 0.005988024 0.0038022813 
back 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
choose 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
best 0.005988024 0.006369427 0.005524862 0.005988024 0.0076045627 
house 0.005988024 0.006369427 0.011049724 0.005988024 0.0038022813 
