 0.00729927 0.021881837 0.010844307 0.022127053 0.055061657 
vhs 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 8.603384E-4 
prepare 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
half 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 0.0011471178 
slowed 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
numerous 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
layla 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 5.735589E-4 
n_regret 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
accuracy 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 8.603384E-4 
hall 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
discourage 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
n_matter 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
dissapointed 9.1240875E-4 0.0021881838 7.745933E-4 7.1377587E-4 2.8677945E-4 
youth 9.1240875E-4 0.0014587892 7.745933E-4 7.1377587E-4 2.8677945E-4 
vid 9.1240875E-4 7.293946E-4 0.0030983733 7.1377587E-4 2.8677945E-4 
approved 0.0018248175 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
music 9.1240875E-4 7.293946E-4 0.00232378 0.0021413276 0.006022369 
forevergiant 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
pick 9.1240875E-4 7.293946E-4 0.00464756 7.1377587E-4 0.0014338973 
slows 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
n_include 9.1240875E-4 7.293946E-4 7.745933E-4 0.0014275517 2.8677945E-4 
understanding 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 8.603384E-4 
xmr 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
moving 9.1240875E-4 7.293946E-4 0.0015491867 7.1377587E-4 5.735589E-4 
audience 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 2.8677945E-4 
amneris 9.1240875E-4 7.293946E-4 7.745933E-4 7.1377587E-4 5.735589E-4 
